Last Flow Zeroed,Runtime,Flow Counts,Distance
0,257,1,6.49
258,362,0,6.49
258,467,0,6.49
258,572,0,6.49
258,677,0,6.49
258,782,0,6.49
258,887,0,6.49
258,992,0,6.49
258,1097,0,6.49
258,1202,0,6.49
258,1307,0,6.49
258,1412,0,6.49
258,1517,0,6.49
258,1623,0,6.49
258,1728,0,6.49
258,1833,0,6.49
258,1939,0,6.49
258,2044,0,6.49
258,2149,0,6.49
258,2254,0,6.49
258,2359,0,6.49
258,2464,0,6.49
258,2569,0,6.49
258,2674,0,6.49
258,2779,0,6.49
258,2884,0,6.49
258,2990,0,6.49
258,3095,0,6.49
258,3201,0,6.49
258,3306,0,6.49
258,3411,0,6.49
258,3516,0,6.49
258,3621,0,6.49
258,3726,0,6.49
258,3831,0,6.49
258,3936,0,6.49
258,4041,0,6.49
258,4146,0,6.49
258,4251,0,6.49
258,4356,0,6.49
258,4461,0,6.49
258,4567,0,6.49
258,4672,0,6.49
258,4777,0,6.49
258,4883,0,6.49
258,4988,0,6.49
258,5093,0,6.49
258,5198,0,6.49
258,5303,0,6.49
258,5408,0,6.49
258,5513,0,6.49
258,5618,0,6.49
258,5723,0,6.49
258,5828,0,6.49
258,5934,0,6.49
258,6039,0,6.49
258,6145,0,6.49
258,6250,0,6.49
258,6355,0,6.49
258,6460,0,6.49
258,6565,0,6.49
258,6670,0,6.49
258,6775,0,6.49
258,6880,0,6.49
258,6985,0,6.49
258,7090,0,6.49
258,7195,0,6.49
258,7300,0,6.49
258,7405,0,6.49
258,7511,0,6.49
258,7616,0,6.49
258,7721,0,6.49
258,7827,0,6.49
258,7932,0,6.49
258,8037,0,6.49
258,8142,0,6.49
258,8247,0,6.49
258,8352,0,6.49
258,8457,0,6.49
258,8562,0,6.49
258,8667,0,6.49
258,8772,0,6.49
258,8878,0,6.49
258,8983,0,6.49
258,9089,0,6.49
258,9194,0,6.49
258,9299,0,6.49
258,9404,0,6.49
258,9509,0,6.49
258,9614,0,6.49
258,9719,0,6.49
258,9824,0,6.49
258,9929,0,6.49
258,10034,0,6.49
258,10139,0,6.49
258,10244,0,6.49
258,10349,0,6.49
258,10455,0,6.51
258,10560,0,6.49
258,10665,0,6.49
258,10771,0,6.49
258,10876,0,6.49
258,10981,0,6.49
258,11086,0,6.49
258,11191,0,6.49
258,11296,0,6.49
258,11401,0,6.49
258,11506,0,6.49
258,11611,0,6.49
258,11716,0,6.49
258,11822,0,6.49
258,11927,0,6.49
258,12033,0,6.49
258,12138,0,6.49
258,12243,0,6.49
258,12348,0,6.49
258,12453,0,6.49
258,12558,0,6.49
258,12663,0,6.49
258,12768,0,6.49
258,12873,0,6.49
258,12978,0,6.49
258,13083,0,6.49
258,13188,0,6.49
258,13293,0,6.51
258,13399,0,6.49
258,13504,0,6.49
258,13609,0,6.49
258,13715,0,6.49
258,13820,0,6.49
258,13925,0,6.49
258,14030,0,6.49
258,14135,0,6.49
258,14240,0,6.49
258,14345,0,6.49
258,14450,0,6.49
258,14555,0,6.49
258,14660,0,6.49
258,14766,0,6.49
258,14871,0,6.49
258,14977,0,6.49
258,15082,0,6.49
258,15187,0,6.49
258,15292,0,6.49
258,15397,0,6.49
258,15502,0,6.49
258,15607,0,6.49
258,15712,0,6.49
258,15817,0,6.49
258,15922,0,6.49
258,16027,0,6.49
258,16132,0,6.49
258,16237,0,6.49
258,16343,0,6.49
258,16448,0,6.49
258,16553,0,6.49
258,16659,0,6.49
258,16764,0,6.49
258,16869,0,6.49
258,16974,0,6.49
258,17079,0,6.49
258,17184,0,6.49
258,17289,0,6.49
258,17394,0,6.49
258,17499,0,6.49
258,17604,0,6.49
258,17710,0,6.49
258,17815,0,6.49
258,17921,0,6.49
258,18026,0,6.49
258,18131,0,6.49
258,18236,0,6.49
258,18341,0,6.49
258,18446,0,6.49
258,18551,0,6.49
258,18656,0,6.49
258,18761,0,6.49
258,18866,0,6.49
258,18971,0,6.49
258,19076,0,6.49
258,19181,0,6.49
258,19287,0,6.49
258,19392,0,6.49
258,19497,0,6.49
258,19603,0,6.49
258,19708,0,6.49
258,19813,0,6.49
258,19918,0,6.49
258,20023,0,6.49
258,20128,0,6.49
258,20233,0,6.49
258,20338,0,6.49
258,20443,0,6.49
258,20548,0,6.49
258,20654,0,6.49
258,20759,0,6.49
